"","SAMPLE_ID","CLAY","SILT","SAND","SOC","CaCO3","N","P","K","CEC","GPS_PROJ","GPS_LAT","GPS_LONG","LC1","LC2","LU1","LU2","MINERAL","COUNTRY"
"486","13799",46,43,11,7.2,146,1.1,0,244,28.2,"WGS84",42.93536,12.28455,"B31","8","U111","8","mineral","ITALY"
"487","13802",31,25,44,36.7,113,3,10.3,235.6,30.5,"WGS84",43.14488,12.58712,"C10","8","U120","8","mineral","ITALY"
"488","13803",20,43,37,99.5,30,8,13.7,398.5,54.1,"WGS84",42.76828,13.13142,"D10","8","U364","8","mineral","ITALY"
"489","13804",27,44,30,13.1,288,1.5,0,118,21.9,"WGS84",43.19775,12.63847,"E20","8","U111","8","mineral","ITALY"
"490","13805",44,39,18,12,36,1.4,0,211.7,34,"WGS84",43.23321,12.66463,"B52","8","U111","8","mineral","ITALY"
"491","13806",34,48,18,41.5,357,3.2,0,420.8,33.9,"WGS84",43.39989,12.49972,"E10","8","U111","8","mineral","ITALY"
"492","13807",44,48,7,54.6,224,4,0,204.6,40.1,"WGS84",43.43581,12.50147,"C10","8","U120","8","mineral","ITALY"
"493","13808",33,53,13,24.2,148,2.3,0,304.1,28,"WGS84",43.05015,12.75439,"D10","8","U400","8","mineral","ITALY"
"494","13809",10,48,42,4.5,2,0.6,32.1,61.2,8.9,"WGS84",43.37058,12.20299,"B36","8","U111","8","mineral","ITALY"
"495","13817",37,21,42,6.4,0,0.8,0,144.8,25.2,"WGS84",42.67587,12.54255,"B11","8","U111","8","mineral","ITALY"
"496","13818",32,60,9,8.6,279,1.1,0,123.2,21.7,"WGS84",42.53773,12.29367,"B13","8","U111","8","mineral","ITALY"
"497","13820",34,47,19,13.2,193,1.3,40.9,290.8,26,"WGS84",42.62496,12.41855,"B11","8","U111","8","mineral","ITALY"
"498","13821",24,50,26,17.4,207,1.1,0,124.2,16.3,"WGS84",42.46149,12.4605,"B13","8","U111","8","mineral","ITALY"
"499","13822",36,54,9,9,225,1.1,0,178.5,20.7,"WGS84",42.40617,12.50669,"E20","8","U111","8","mineral","ITALY"
"500","13823",26,39,35,13.2,10,1.5,13.3,138.3,20.7,"WGS84",42.88362,12.185,"B13","8","U111","8","mineral","ITALY"
"501","13824",26,44,30,17.5,212,1.7,34.5,507,20.1,"WGS84",42.36995,12.50556,"D10","8","U400","8","mineral","ITALY"
"502","13825",20,70,10,14.3,253,1,0,124,15.6,"WGS84",42.79612,12.03563,"C10","8","U120","8","mineral","ITALY"
"503","13826",28,48,25,16.8,264,1.7,0,241.8,23.6,"WGS84",42.25742,12.66973,"B81","E10","U111","8","mineral","ITALY"
"504","13827",36,31,33,15.5,20,1.7,51.8,274.9,28.6,"WGS84",42.52613,12.77849,"B12","8","U111","8","mineral","ITALY"
"505","13828",13,36,52,21.7,6,2,65.6,88.5,13.7,"WGS84",42.26375,13.081,"E10","8","U111","8","mineral","ITALY"
"506","13829",43,34,24,11.4,7,1.3,15.5,290.8,31.6,"WGS84",42.22195,12.644,"E20","8","U111","8","mineral","ITALY"
"507","13830",17,43,40,15.9,168,1.5,71.5,202.5,16.2,"WGS84",42.41721,12.79925,"B16","8","U111","8","mineral","ITALY"
"508","13845",30,54,16,10.2,484,1.1,17.3,151.8,17.8,"WGS84",43.07042,13.80931,"B12","8","U111","8","mineral","ITALY"
"509","13846",41,52,7,9,335,1.1,11.3,227.5,20.2,"WGS84",43.02287,13.63597,"B12","8","U111","8","mineral","ITALY"
"510","13847",37,50,13,12.4,380,1.2,0,781.4,20.7,"WGS84",43.16332,13.74167,"B31","8","U111","8","mineral","ITALY"
"511","13848",40,49,10,8.6,426,1.1,0,193.8,20,"WGS84",43.22179,13.62246,"B31","8","U111","8","mineral","ITALY"
"512","13849",43,49,8,9.5,457,0.9,0,173.2,22.6,"WGS84",43.18485,13.64477,"B31","8","U111","8","mineral","ITALY"
"513","13850",23,46,31,9.9,343,1,0,136.3,16.5,"WGS84",43.2252,13.52436,"B52","8","U111","8","mineral","ITALY"
"514","13851",35,40,25,8.5,393,1,0,163.6,19.7,"WGS84",43.24245,13.55001,"B12","8","U111","8","mineral","ITALY"
"515","13852",30,43,26,15.2,250,1.1,0,190.7,19.6,"WGS84",42.96408,13.75363,"B12","8","U111","8","mineral","ITALY"
"516","13853",22,52,26,10.6,281,0.9,0,222.9,12.8,"WGS84",43.55784,12.67946,"B52","8","U111","8","mineral","ITALY"
"517","13855",21,39,40,13,257,1.1,10.5,224,11.4,"WGS84",42.90997,13.75008,"B82","E10","U111","8","mineral","ITALY"
"518","13856",38,54,8,12.1,349,1.3,0,433.5,19,"WGS84",43.10072,13.46782,"B52","8","U111","8","mineral","ITALY"
"519","13858",29,52,18,6.8,285,0.8,12.4,212.8,17,"WGS84",42.88923,13.82213,"F00","8","U370","8","mineral","ITALY"
"520","13859",46,50,4,6.1,490,0.7,0,145.8,28.2,"WGS84",43.80699,12.81505,"B31","8","U111","8","mineral","ITALY"
"521","13860",51,46,3,11,269,1.3,0,337.6,26.3,"WGS84",43.7362,12.76207,"B41","8","U111","8","mineral","ITALY"
"522","13861",41,45,14,15,357,1.7,0,224.3,27.8,"WGS84",43.68344,12.71002,"B52","8","U111","8","mineral","ITALY"
